price sqFt year doorMan min_from_sub
624.88 358.11 1962 1 0 
638.60 377.32 1966 1 0 
661.13 377.80 1966 1 0 
662.95 381.21 1967 1 0 
679.06 390.06 1967 1 0 
681.86 396.09 1968 1 0 
683.68 397.44 1968 1 0 
684.54 398.44 1968 1 0 
685.87 399.43 1968 1 0 
689.16 402.96 1968 1 0 
690.21 403.37 1968 1 0 
690.73 403.89 1968 1 0 
697.35 404.46 1969 1 0 
697.64 409.72 1969 1 0 
705.30 410.91 1969 1 0 
705.36 411.95 1969 1 0 
708.46 412.87 1969 1 0 
709.08 415.45 1969 1 0 
710.90 419.37 1969 1 0 
712.07 420.17 1970 1 0 
712.31 422.26 1970 1 0 
712.57 424.17 1970 1 0 
717.22 424.31 1970 1 0 
721.05 429.28 1970 1 0 
721.72 429.39 1970 1 0 
722.86 429.66 1970 1 0 
722.97 432.02 1971 1 0 
724.56 432.16 1971 1 0 
724.60 433.08 1971 1 0 
727.38 433.78 1971 1 0 
728.17 435.91 1971 1 0 
728.31 436.30 1971 1 0 
730.05 436.61 1971 1 0 
730.40 437.12 1971 1 0 
730.47 437.34 1971 1 0 
733.10 438.93 1971 1 0 
733.99 442.32 1971 1 0 
736.00 442.65 1971 1 0 
736.52 444.50 1972 1 0 
736.61 444.50 1972 1 0 
737.36 444.56 1972 1 0 
737.36 444.57 1972 1 0 
737.37 445.08 1972 1 0 
741.45 445.27 1972 1 0 
741.45 445.48 1972 1 0 
742.03 445.50 1972 1 0 
742.39 445.94 1972 1 0 
745.07 446.42 1972 1 0 
746.84 446.45 1972 1 0 
748.38 448.85 1972 1 0 
748.38 449.86 1972 1 0 
749.10 450.77 1972 1 0 
749.12 450.83 1972 1 0 
749.43 451.97 1972 1 0 
749.93 451.97 1972 1 0 
750.21 452.25 1972 1 0 
750.86 452.53 1972 1 0 
750.94 453.17 1972 1 0 
751.31 453.30 1973 1 0 
753.87 454.69 1973 1 0 
753.91 455.49 1973 1 0 
753.94 456.34 1973 1 0 
754.14 456.95 1973 1 0 
754.43 457.30 1973 1 0 
755.03 457.33 1973 1 0 
755.29 457.56 1973 1 0 
755.49 457.78 1973 1 0 
756.00 457.96 1973 1 0 
756.17 457.97 1973 1 0 
757.11 458.01 1973 1 0 
757.42 458.21 1973 1 0 
758.60 460.57 1973 1 0 
758.69 461.36 1973 1 0 
758.81 461.38 1973 1 0 
759.83 462.08 1973 1 0 
759.90 462.45 1973 1 0 
760.53 462.49 1973 1 0 
760.73 462.88 1973 1 0 
761.10 463.03 1974 1 0 
763.06 463.33 1974 1 0 
763.19 465.28 1974 1 0 
763.26 465.39 1974 1 0 
763.89 466.35 1974 1 0 
763.91 466.39 1974 1 0 
764.71 466.44 1974 1 0 
764.84 467.11 1974 1 0 
765.61 467.25 1974 1 0 
765.83 467.36 1974 1 0 
767.25 467.38 1974 1 0 
767.39 467.71 1974 1 0 
768.86 468.18 1974 1 0 
769.18 468.47 1974 1 0 
769.90 468.72 1974 1 0 
770.00 470.63 1974 1 0 
770.75 470.85 1974 1 0 
770.81 471.08 1974 1 0 
771.48 471.19 1974 1 0 
771.61 471.21 1974 1 0 
771.90 471.46 1974 1 0 
772.14 471.99 1974 1 0 
772.18 472.04 1974 1 0 
772.68 472.16 1974 1 0 
772.94 472.40 1974 1 0 
773.01 472.89 1974 1 0 
773.29 473.36 1974 1 0 
773.35 473.76 1974 1 0 
774.06 474.03 1974 1 0 
774.10 474.67 1974 1 1 
774.53 475.01 1974 1 1 
774.60 475.02 1974 1 1 
774.63 475.12 1974 1 1 
774.78 475.27 1974 1 1 
774.84 476.11 1974 1 1 
774.88 476.31 1974 1 1 
775.03 476.40 1974 1 1 
775.16 476.61 1974 1 1 
776.12 476.76 1974 1 1 
776.35 476.88 1974 1 1 
776.38 476.98 1974 1 1 
776.81 477.12 1974 1 1 
777.52 477.36 1974 1 1 
778.81 477.42 1974 1 1 
779.47 477.49 1974 1 1 
779.76 477.94 1974 1 1 
780.27 478.33 1974 1 1 
780.45 478.73 1974 1 1 
780.45 478.89 1974 1 1 
780.51 479.16 1974 1 1 
781.30 479.18 1974 1 1 
781.58 480.07 1974 1 1 
781.76 480.33 1974 1 1 
782.15 480.76 1974 1 1 
782.34 480.88 1974 1 1 
782.85 481.01 1975 1 1 
782.97 481.40 1975 1 1 
783.00 481.51 1975 1 1 
783.13 482.40 1975 1 1 
783.35 482.85 1975 1 1 
783.45 483.12 1975 1 1 
783.50 483.22 1975 1 1 
783.64 483.55 1975 1 1 
783.65 483.56 1975 1 1 
783.70 483.79 1975 1 1 
783.87 483.83 1975 1 1 
783.90 483.94 1975 1 1 
784.26 483.96 1975 1 1 
784.28 484.19 1975 1 1 
784.29 484.20 1975 1 1 
784.29 484.88 1975 1 1 
784.45 484.99 1975 1 1 
784.97 485.03 1975 1 1 
785.07 485.04 1975 1 1 
785.13 485.28 1975 1 1 
785.38 485.48 1975 1 1 
785.96 485.60 1975 1 1 
786.03 486.01 1975 1 1 
786.37 486.08 1975 1 1 
786.70 486.27 1975 1 1 
786.89 486.75 1975 1 1 
787.42 486.79 1975 1 1 
787.61 487.89 1975 1 1 
787.71 487.97 1975 1 1 
787.87 488.21 1975 1 1 
788.07 488.57 1975 1 1 
788.15 488.81 1975 1 1 
788.20 489.13 1975 1 1 
788.71 489.30 1975 1 1 
788.72 489.64 1975 1 1 
788.77 490.67 1975 1 1 
789.17 490.86 1975 1 1 
789.27 491.28 1975 1 1 
789.29 491.33 1975 1 1 
789.30 491.39 1975 1 1 
789.35 491.47 1975 1 1 
789.74 491.58 1975 1 1 
790.02 491.87 1975 1 1 
790.44 492.03 1975 1 1 
790.83 492.17 1975 1 1 
790.84 492.23 1975 1 1 
790.97 492.61 1975 1 1 
791.18 492.80 1975 1 1 
791.24 493.10 1975 1 1 
791.47 493.92 1975 1 1 
791.75 494.24 1975 1 1 
792.47 494.30 1975 1 1 
792.49 494.42 1975 1 1 
793.00 495.24 1975 1 1 
793.24 495.75 1975 1 1 
793.59 495.84 1975 1 1 
793.96 495.84 1975 1 1 
794.17 496.12 1975 1 1 
794.17 496.31 1975 1 1 
794.22 496.42 1975 1 1 
794.36 496.54 1976 1 1 
794.45 496.54 1976 1 1 
794.62 496.60 1976 1 1 
794.91 497.28 1976 1 1 
795.01 497.29 1976 1 1 
795.36 497.54 1976 1 1 
795.51 497.89 1976 1 1 
795.94 498.28 1976 1 1 
796.01 498.42 1976 1 1 
796.24 498.58 1976 1 1 
796.32 498.88 1976 1 1 
796.53 499.21 1976 1 1 
796.60 499.31 1976 1 1 
796.86 499.34 1976 1 1 
797.38 499.47 1976 1 1 
797.45 499.54 1976 1 1 
797.69 499.64 1976 1 1 
797.70 499.71 1976 1 1 
798.38 499.73 1976 1 1 
798.46 499.84 1976 1 1 
798.66 500.21 1976 1 1 
798.67 500.29 1976 1 1 
798.92 500.80 1976 1 1 
799.44 500.85 1976 1 1 
799.68 501.06 1976 1 1 
799.78 501.11 1976 1 1 
799.83 501.36 1976 1 1 
800.16 501.40 1976 1 1 
800.32 501.93 1976 1 1 
800.45 502.00 1976 1 1 
800.53 502.07 1976 1 1 
800.76 502.15 1976 1 1 
800.81 502.23 1976 1 1 
800.90 502.36 1976 1 1 
800.98 502.52 1976 1 1 
801.11 502.78 1976 1 1 
801.23 503.00 1976 1 1 
801.25 503.12 1976 1 1 
801.34 503.26 1976 1 1 
801.69 503.72 1976 1 1 
802.27 503.75 1976 1 1 
802.88 503.87 1976 1 1 
802.94 504.01 1976 1 1 
803.19 504.17 1976 1 1 
803.28 504.39 1976 1 1 
803.45 504.52 1976 1 1 
803.45 504.64 1976 1 1 
803.62 504.66 1976 1 1 
803.64 504.95 1976 1 1 
803.84 505.30 1976 1 1 
804.10 505.65 1976 1 1 
804.15 505.92 1976 1 1 
804.33 505.99 1976 1 1 
804.63 506.03 1976 1 1 
804.85 506.12 1976 1 1 
804.87 506.54 1976 1 1 
805.04 506.54 1976 1 1 
805.11 506.61 1976 1 1 
805.32 506.65 1976 1 1 
805.45 506.69 1976 1 1 
805.49 506.86 1976 1 1 
805.57 507.06 1976 1 1 
806.05 507.09 1976 1 1 
806.16 507.13 1976 1 1 
806.34 507.17 1976 1 1 
806.47 507.27 1976 1 1 
806.61 507.53 1976 1 1 
806.88 507.55 1976 1 1 
806.91 507.62 1976 1 1 
807.00 507.73 1976 1 1 
807.51 507.75 1976 1 1 
807.53 507.89 1976 1 1 
807.61 507.92 1976 1 1 
808.11 507.99 1976 1 1 
808.41 508.17 1976 1 1 
808.52 508.19 1976 1 1 
808.53 508.28 1976 1 1 
808.66 508.35 1976 1 1 
808.70 508.77 1976 1 1 
808.81 508.89 1976 1 1 
808.82 508.98 1976 1 1 
809.05 509.11 1976 1 1 
809.21 509.22 1976 1 1 
809.53 509.51 1976 1 1 
809.55 509.56 1976 1 1 
809.70 509.67 1976 1 1 
809.84 509.92 1976 1 1 
809.98 510.25 1977 1 1 
810.03 510.36 1977 1 1 
810.05 510.44 1977 1 1 
810.12 510.50 1977 1 1 
810.18 510.57 1977 1 1 
810.26 510.74 1977 1 1 
810.28 510.77 1977 1 1 
810.43 510.82 1977 1 1 
810.70 510.84 1977 1 1 
810.75 511.22 1977 1 1 
811.52 511.48 1977 1 1 
811.53 511.54 1977 1 1 
811.67 511.77 1977 1 1 
811.77 512.20 1977 1 1 
811.81 512.28 1977 1 1 
811.95 512.29 1977 1 1 
812.32 512.35 1977 1 1 
812.37 512.39 1977 1 1 
812.51 512.42 1977 1 1 
812.57 512.63 1977 1 1 
812.62 512.70 1977 1 1 
812.66 512.81 1977 1 1 
812.98 512.92 1977 1 1 
813.10 512.98 1977 1 1 
813.13 513.18 1977 1 1 
814.13 513.30 1977 1 1 
814.15 513.32 1977 1 1 
814.31 513.49 1977 1 1 
814.33 513.91 1977 1 1 
814.48 514.00 1977 1 1 
814.62 514.08 1977 1 1 
814.78 514.19 1977 1 1 
814.90 514.48 1977 1 1 
815.05 514.48 1977 1 1 
815.12 514.65 1977 1 1 
815.20 514.72 1977 1 1 
815.31 514.75 1977 1 1 
815.85 515.28 1977 1 1 
815.88 515.44 1977 1 1 
815.94 515.47 1977 1 1 
815.99 515.52 1977 1 1 
816.04 515.52 1977 1 1 
816.16 515.71 1977 1 1 
816.43 515.72 1977 1 1 
816.46 515.77 1977 1 1 
816.80 515.84 1977 1 1 
816.93 515.99 1977 1 1 
817.09 516.05 1977 1 1 
817.19 516.11 1977 1 1 
817.19 516.12 1977 1 1 
817.20 516.25 1977 1 1 
817.30 516.56 1977 1 2 
817.49 516.69 1977 1 2 
817.61 516.75 1977 1 2 
817.81 516.82 1977 1 2 
817.82 516.85 1977 1 2 
817.95 517.04 1977 1 2 
817.96 517.08 1977 1 2 
818.19 517.14 1977 1 2 
818.75 517.39 1977 1 2 
818.77 517.43 1977 1 2 
819.18 517.46 1977 1 2 
819.23 517.55 1977 1 2 
819.32 517.60 1977 1 2 
