street,city,state,zip,price,sqFt,year,has_doorman,min_from_subway,user_id
14th str.,New York,NY,10009,673.40,300.39,1962,1,0,2607
14th str.,New York,NY,10009,676.59,315.78,1964,1,0,5319
14th str.,New York,NY,10009,676.62,317.34,1965,1,0,2909
14th str.,New York,NY,10009,679.92,359.29,1966,1,0,6795
14th str.,New York,NY,10009,681.37,361.11,1966,1,0,1719
14th str.,New York,NY,10009,690.39,373.62,1967,1,0,5891
14th str.,New York,NY,10009,692.91,379.70,1968,1,0,5643
14th str.,New York,NY,10009,693.41,381.17,1969,1,0,7247
14th str.,New York,NY,10009,694.42,382.01,1969,1,0,5785
14th str.,New York,NY,10009,698.40,390.72,1969,1,0,3280
14th str.,New York,NY,10009,698.49,397.36,1969,1,0,1815
14th str.,New York,NY,10009,699.26,397.51,1969,1,0,5573
14th str.,New York,NY,10009,699.64,404.17,1969,1,0,4464
14th str.,New York,NY,10009,699.90,405.00,1969,1,0,1682
14th str.,New York,NY,10009,701.17,406.54,1969,1,0,2536
14th str.,New York,NY,10009,701.51,406.89,1969,1,0,3328
14th str.,New York,NY,10009,705.44,407.04,1970,1,0,4152
14th str.,New York,NY,10009,707.20,407.47,1970,1,0,4620
14th str.,New York,NY,10009,707.90,407.60,1970,1,0,1285
14th str.,New York,NY,10009,712.67,408.68,1970,1,0,935
14th str.,New York,NY,10009,715.42,409.81,1970,1,0,435
14th str.,New York,NY,10009,715.64,411.05,1970,1,0,3640
14th str.,New York,NY,10009,715.74,413.23,1970,1,0,4170
14th str.,New York,NY,10009,716.96,413.38,1970,1,0,3705
14th str.,New York,NY,10009,718.33,415.18,1970,1,0,3414
14th str.,New York,NY,10009,718.49,416.76,1970,1,0,666
14th str.,New York,NY,10009,719.78,417.35,1971,1,0,5045
14th str.,New York,NY,10009,720.00,417.61,1971,1,0,2071
14th str.,New York,NY,10009,720.23,418.26,1971,1,0,5535
14th str.,New York,NY,10009,722.28,419.48,1971,1,0,4428
14th str.,New York,NY,10009,722.70,420.15,1971,1,0,4845
14th str.,New York,NY,10009,724.03,421.20,1971,1,0,7488
14th str.,New York,NY,10009,724.65,421.60,1971,1,0,5392
14th str.,New York,NY,10009,725.60,422.10,1971,1,0,3131
14th str.,New York,NY,10009,726.08,422.13,1971,1,0,2101
14th str.,New York,NY,10009,729.24,423.53,1971,1,0,4100
14th str.,New York,NY,10009,730.13,426.00,1971,1,0,3485
14th str.,New York,NY,10009,731.10,427.78,1971,1,0,4615
14th str.,New York,NY,10009,732.49,428.13,1971,1,0,6464
14th str.,New York,NY,10009,734.77,428.54,1972,1,0,5487
14th str.,New York,NY,10009,735.59,429.57,1972,1,0,3681
14th str.,New York,NY,10009,739.91,430.53,1972,1,0,1350
14th str.,New York,NY,10009,742.61,431.62,1972,1,0,5023
14th str.,New York,NY,10009,744.18,431.67,1972,1,0,4518
14th str.,New York,NY,10009,744.30,431.95,1972,1,0,3097
14th str.,New York,NY,10009,744.47,432.77,1972,1,0,2428
14th str.,New York,NY,10009,744.76,433.08,1972,1,0,3544
14th str.,New York,NY,10009,745.83,434.23,1972,1,0,2102
14th str.,New York,NY,10009,746.20,436.96,1972,1,0,967
14th str.,New York,NY,10009,748.65,437.00,1972,1,0,5100
14th str.,New York,NY,10009,748.87,440.27,1972,1,0,6201
14th str.,New York,NY,10009,748.95,440.53,1972,1,0,2637
14th str.,New York,NY,10009,749.01,441.62,1972,1,0,3926
14th str.,New York,NY,10009,750.29,442.18,1972,1,0,3977
14th str.,New York,NY,10009,750.60,442.35,1972,1,0,2695
14th str.,New York,NY,10009,750.80,442.65,1972,1,0,5490
14th str.,New York,NY,10009,751.88,443.70,1973,1,0,7323
14th str.,New York,NY,10009,753.04,443.96,1973,1,0,4831
14th str.,New York,NY,10009,754.51,444.23,1973,1,0,2226
14th str.,New York,NY,10009,754.92,446.34,1973,1,0,9650
14th str.,New York,NY,10009,756.63,446.51,1973,1,0,5578
14th str.,New York,NY,10009,757.40,447.71,1973,1,0,1944
14th str.,New York,NY,10009,757.56,447.86,1973,1,0,4376
14th str.,New York,NY,10009,757.92,448.02,1973,1,0,6737
14th str.,New York,NY,10009,757.97,448.52,1973,1,0,3727
14th str.,New York,NY,10009,759.29,448.65,1973,1,0,4065
14th str.,New York,NY,10009,759.36,448.94,1973,1,0,5533
14th str.,New York,NY,10009,760.13,449.25,1973,1,0,4052
14th str.,New York,NY,10009,760.38,450.25,1973,1,0,1982
